fixture_id,teams_home_id,teams_home_name,teams_home_winner,teams_away_id,teams_away_name,teams_away_winner,goals_home,goals_away
868272,66,Aston Villa,True,36,Fulham,False,1,0
868273,49,Chelsea,False,55,Brentford,True,0,2
868274,41,Southampton,False,35,Bournemouth,True,0,1
868275,50,Manchester City,True,42,Arsenal,False,4,1
868276,35,Bournemouth,True,63,Leeds,False,4,1
868277,42,Arsenal,True,49,Chelsea,False,3,1
868278,55,Brentford,True,65,Nottingham Forest,False,2,1
868279,51,Brighton,True,39,Wolves,False,6,0
868280,52,Crystal Palace,True,48,West Ham,False,4,3
868281,36,Fulham,False,50,Manchester City,True,1,2
868282,46,Leicester,,45,Everton,,2,2
868283,40,Liverpool,True,47,Tottenham,False,4,3
868284,33,Manchester United,True,66,Aston Villa,False,1,0
868285,34,Newcastle,True,41,Southampton,False,3,1
868286,35,Bournemouth,False,49,Chelsea,True,1,3
868287,51,Brighton,False,45,Everton,True,1,5
868288,36,Fulham,True,46,Leicester,False,5,3
868289,40,Liverpool,True,55,Brentford,False,1,0
868290,50,Manchester City,True,63,Leeds,False,2,1
868291,34,Newcastle,False,42,Arsenal,True,0,2
868292,65,Nottingham Forest,True,41,Southampton,False,4,3
868293,47,Tottenham,True,52,Crystal Palace,False,1,0
868294,48,West Ham,True,33,Manchester United,False,1,0
868295,39,Wolves,True,66,Aston Villa,False,1,0
868296,42,Arsenal,False,51,Brighton,True,0,3
868297,66,Aston Villa,True,47,Tottenham,False,2,1
868298,55,Brentford,True,48,West Ham,False,2,0
868299,49,Chelsea,,65,Nottingham Forest,,2,2
868300,52,Crystal Palace,True,35,Bournemouth,False,2,0
868301,45,Everton,False,50,Manchester City,True,0,3
868302,63,Leeds,,34,Newcastle,,2,2
868303,46,Leicester,False,40,Liverpool,True,0,3
868304,33,Manchester United,True,39,Wolves,False,2,0
868305,41,Southampton,False,36,Fulham,True,0,2
868306,35,Bournemouth,False,33,Manchester United,True,0,1
868307,51,Brighton,True,41,Southampton,False,3,1
868308,36,Fulham,,52,Crystal Palace,,2,2
868309,40,Liverpool,,66,Aston Villa,,1,1
868310,50,Manchester City,True,49,Chelsea,False,1,0
868311,34,Newcastle,,46,Leicester,,0,0
868312,65,Nottingham Forest,True,42,Arsenal,False,1,0
868313,47,Tottenham,False,55,Brentford,True,1,3
868314,48,West Ham,True,63,Leeds,False,3,1
868315,39,Wolves,,45,Everton,,1,1
868316,42,Arsenal,True,39,Wolves,False,5,0
868317,66,Aston Villa,True,51,Brighton,False,2,1
868318,55,Brentford,True,50,Manchester City,False,1,0
868319,49,Chelsea,,34,Newcastle,,1,1
868320,52,Crystal Palace,,65,Nottingham Forest,,1,1
868321,45,Everton,True,35,Bournemouth,False,1,0
868322,63,Leeds,False,47,Tottenham,True,1,4
868323,46,Leicester,True,48,West Ham,False,2,1
868324,33,Manchester United,True,36,Fulham,False,2,1
868325,41,Southampton,,40,Liverpool,,4,4
